City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Temperature,Wind_Speed
88,huambo,20,AO,1537938000,88,-12.78,15.73,62.6,4.7
89,lorengau,32,PG,1537942079,100,-2.02,147.27,81.87,3.04
90,maryville,1,US,1537941180,100,40.35,-94.87,45.81,10.76
91,coihaique,75,CL,1537938000,84,-45.58,-72.07,35.87,1.12
92,mkushi,0,ZM,1537942080,43,-13.61,29.4,70.53,9.19
93,young,80,UY,1537942080,91,-32.7,-57.63,61.8,10.09
94,caruray,88,PH,1537942080,100,10.31,119.01,82.14,16.8
95,cidreira,92,BR,1537942081,98,-30.17,-50.22,65.67,11.21
96,thompson,75,CA,1537938000,100,55.74,-97.86,33.8,2.24
97,zirandaro,56,MX,1537942087,99,18.45,-100.98,69.27,2.59
98,takoradi,80,GH,1537942149,98,4.89,-1.75,76.65,6.62
99,butaritari,0,KI,1537942088,100,3.07,172.79,84.39,9.75
100,ust-nera,92,RU,1537942089,87,64.57,143.24,32.01,2.59
101,gornozavodsk,88,RU,1537942089,72,58.37,58.33,57.39,17.92
102,kiama,75,AU,1537938000,100,-34.67,150.86,51.8,8.05
103,lagoa,0,PT,1537939800,78,37.14,-8.45,75.2,11.41
104,omboue,80,GA,1537942090,100,-1.57,9.26,77.19,8.86
105,cape town,40,ZA,1537938000,93,-33.93,18.42,55.4,12.75
106,kodiak,1,US,1537941180,100,39.95,-94.76,46.04,10.76
107,plouzane,0,FR,1537939800,86,48.38,-4.62,45.09,6.93
108,rocha,68,UY,1537942092,90,-34.48,-54.34,58.02,9.08
109,barabai,36,ID,1537942092,55,-2.59,115.38,91.59,2.71
110,san vicente,88,SV,1537941000,100,13.64,-88.78,70.7,2.24
111,gamba,32,CN,1537942094,50,28.28,88.52,46.41,2.37
112,ahuimanu,1,US,1537938120,74,21.44,-157.84,82.63,6.73
113,georgetown,76,GY,1537942094,90,6.8,-58.16,78.45,2.59
114,vao,76,EE,1537942095,79,59.1,26.19,48.3,13.67
115,stokmarknes,75,NO,1537941000,81,68.56,14.91,45.3,21.92
116,naron,0,ES,1537941600,87,43.52,-8.15,53.6,3.36
117,santa cruz,90,US,1537940400,96,36.97,-122.03,58.21,2.48
118,hofn,0,IS,1537942097,100,64.25,-15.21,42.54,8.97
119,lebu,0,ET,1537942159,36,8.96,38.73,67.11,3.94
120,morelia,90,MX,1537936800,100,19.7,-101.19,59.0,0.36
121,sao domingos,56,BR,1537942099,37,-13.4,-46.32,74.85,10.42
122,kununurra,40,AU,1537939800,16,-15.77,128.74,96.8,9.17
123,new norfolk,20,AU,1537939800,50,-42.78,147.06,57.2,11.41
124,mantua,75,IT,1537939200,50,45.16,10.79,52.97,6.93
125,westport,90,IE,1537941600,100,53.8,-9.52,57.2,13.87
126,hami,0,CN,1537942100,48,42.84,93.51,64.41,3.04
127,alta floresta,12,BR,1537942101,96,-9.87,-56.08,73.41,2.04
128,bredasdorp,36,ZA,1537938000,76,-34.53,20.04,53.6,3.36
129,east london,0,ZA,1537939140,67,-33.02,27.91,62.6,5.82
130,te anau,92,NZ,1537942102,82,-45.41,167.72,39.57,4.61
131,fare,64,PF,1537942103,100,-16.7,-151.02,77.64,12.44
132,bluff,56,AU,1537942103,29,-23.58,149.07,83.58,4.5
133,turukhansk,80,RU,1537942104,100,65.8,87.96,39.75,6.96
134,tuktoyaktuk,40,CA,1537938000,85,69.44,-133.03,24.8,8.05
135,leningradskiy,0,RU,1537942104,95,69.38,178.42,40.11,14.23
136,conde,80,BR,1537942104,94,-11.81,-37.61,74.31,7.07
137,basco,1,US,1537940100,82,40.33,-91.2,55.56,8.05
138,avera,1,US,1537940100,94,33.19,-82.53,73.94,4.94
139,beyneu,48,KZ,1537942105,36,45.32,55.19,72.42,11.1
140,hilo,1,US,1537937580,82,19.71,-155.08,80.96,4.7
141,hithadhoo,92,MV,1537942106,100,-0.6,73.08,82.14,13.44
142,port moresby,40,PG,1537938000,62,-9.47,147.16,84.2,32.21
143,champerico,20,MX,1537942106,89,16.38,-93.6,67.2,2.15
144,mutoko,0,ZW,1537942107,54,-17.4,32.23,74.49,3.94
145,sao joao da barra,0,BR,1537942107,97,-21.64,-41.05,74.67,25.75
146,seoni,32,IN,1537942108,77,22.09,79.55,88.17,4.94
147,pandan,80,PH,1537942108,97,11.72,122.09,83.85,24.29
148,sao filipe,0,CV,1537942108,98,14.9,-24.5,77.82,8.97
149,hermanus,44,ZA,1537942109,80,-34.42,19.24,54.42,9.08
150,jumla,0,NP,1537942109,85,29.28,82.18,51.99,1.14
151,sidi ali,0,DZ,1537942109,87,36.1,0.42,64.86,5.95
152,khatanga,0,RU,1537942110,90,71.98,102.47,36.33,9.98
153,poum,40,MK,1537939800,45,41.28,20.71,44.6,9.17
154,bushehr,0,IR,1537939800,41,28.97,50.84,93.2,2.37
155,sambava,48,MG,1537942111,100,-14.27,50.17,74.94,12.88
156,mariinskiy posad,75,RU,1537939800,93,56.12,47.72,46.4,13.42
157,smolenka,56,PL,1537942111,82,54.15,22.76,44.79,16.24
158,dalian,40,CN,1537938000,63,19.86,110.11,91.4,4.47
159,berlevag,0,NO,1537941000,74,70.86,29.09,36.79,24.16
160,lompoc,40,US,1537940100,87,34.64,-120.46,56.48,4.7
161,moron,68,VE,1537942113,93,10.49,-68.2,66.39,2.15
162,pahalgam,0,IN,1537942113,88,34.03,75.33,35.25,1.14
163,saint-augustin,0,FR,1537941600,81,44.83,-0.61,48.04,4.7
164,nikolskoye,20,RU,1537939800,81,59.7,30.79,44.6,13.42
165,nagato,75,JP,1537938000,68,34.35,131.14,72.19,4.7
166,havelock,90,US,1537941360,100,34.88,-76.9,74.48,2.93
167,namibe,0,AO,1537942115,100,-15.19,12.15,64.05,3.04
168,masty,0,BY,1537939800,93,53.42,24.54,37.4,8.95
169,yerofey pavlovich,0,RU,1537942115,48,53.97,121.97,60.54,5.61
170,abnub,0,EG,1537938000,56,27.27,31.15,71.6,13.87
171,hervey bay,44,AU,1537942116,89,-25.3,152.85,70.08,7.85
172,tual,20,ID,1537942116,96,-5.67,132.75,81.87,13.78
173,puerto ayora,68,EC,1537942117,100,-0.74,-90.35,69.54,9.98
174,kroya,8,ID,1537942117,39,-6.5,108.06,94.38,3.6
